Kjønn,Alder,Antall,Årsverk,År,Utdanning
2,68,71.0,10.64016,2020,
2,69,73.0,7.608440000000001,2020,
2,70,69.0,6.454890000000001,2020,
2,71,66.0,5.57612,2020,
2,72,69.0,3.8744,2020,
2,73,78.0,4.21828,2020,
2,74,80.0,3.60296,2020,
1,24,1.0,0.2403,2020,
1,25,5.0,4.1545,2020,
1,26,20.0,16.28395,2020,
1,27,18.0,11.27504,2020,
1,28,29.0,23.87502,2020,
1,29,56.0,47.59524,2020,
1,30,60.0,58.20114,2020,
1,31,64.0,59.3898,2020,
1,32,79.0,74.55942,2020,
1,33,85.0,80.1878,2020,
1,34,77.0,71.46975,2020,
1,35,78.0,74.94968,2020,
1,36,78.0,75.35324,2020,
1,37,86.0,81.51845,2020,
1,38,106.0,91.39774,2020,
1,39,103.0,96.06267,2020,
1,40,102.0,93.19275,2020,
1,41,120.0,112.3228,2020,
1,42,117.0,113.2856,2020,
1,43,131.0,125.0431,2020,
1,44,141.0,132.42113,2020,
1,45,143.0,137.38621,2020,
1,46,149.0,140.44464,2020,
1,47,172.0,162.82559999999998,2020,
1,48,172.0,156.78155,2020,
1,49,178.0,164.24795999999998,2020,
1,50,232.0,210.79344,2020,
1,51,195.0,185.03712,2020,
1,52,199.0,188.8493,2020,
1,53,222.0,210.1883,2020,
1,54,251.0,224.41628,2020,
1,55,300.0,274.58574,2020,
1,56,268.0,240.5825,2020,
1,57,288.0,260.86275,2020,
1,58,254.0,222.34914,2020,
1,59,246.0,222.5572,2020,
1,60,231.0,205.16585,2020,
1,61,255.0,220.4583,2020,
1,62,251.0,188.7488,2020,
1,63,264.0,173.01353,2020,
1,64,270.0,159.759,2020,
1,65,253.0,120.7038,2020,
1,66,259.0,116.1459,2020,
1,67,243.0,81.69408,2020,
1,68,231.0,53.28864,2020,
1,69,283.0,50.720279999999995,2020,
1,70,269.0,29.723,2020,
1,71,264.0,39.976890000000004,2020,
1,72,300.0,28.9245,2020,
1,73,284.0,29.063339999999997,2020,
1,74,268.0,18.45714,2020,
2,24,1.0,0.1,2020,
2,25,8.0,7.40968,2020,
2,26,17.0,15.36834,2020,
2,27,34.0,28.89612,2020,
2,28,52.0,49.360479999999995,2020,
2,29,58.0,53.0936,2020,
2,30,93.0,76.31205,2020,
2,31,107.0,90.672,2020,
2,32,108.0,99.12060000000001,2020,
2,33,132.0,116.44250000000001,2020,
2,34,118.0,108.09128,2020,
2,35,132.0,112.89179,2020,
2,36,150.0,133.38628,2020,
2,37,182.0,162.44008,2020,
2,38,136.0,120.65064000000001,2020,
2,39,176.0,151.81992,2020,
2,40,225.0,193.82451,2020,
2,41,219.0,195.35984,2020,
2,42,256.0,228.40052,2020,
2,43,259.0,235.32852,2020,
2,44,237.0,211.29192,2020,
2,45,260.0,227.46586000000002,2020,
2,46,244.0,217.95489999999998,2020,
2,47,310.0,280.37628,2020,
2,48,292.0,262.37532,2020,
2,49,303.0,273.52105,2020,
2,50,331.0,298.10746,2020,
2,51,288.0,257.25975,2020,
2,52,338.0,292.98808,2020,
2,53,322.0,285.06686,2020,
2,54,314.0,272.98419,2020,
2,55,302.0,260.2875,2020,
2,56,264.0,225.1204,2020,
2,57,310.0,268.69485,2020,
2,58,273.0,225.9525,2020,
2,59,253.0,206.74706,2020,
2,60,242.0,190.85253,2020,
2,61,217.0,167.22224,2020,
2,62,218.0,166.74229,2020,
2,63,230.0,131.07575,2020,
2,64,223.0,123.7593,2020,
2,65,221.0,93.32813,2020,
2,66,185.0,60.440599999999996,2020,
2,67,180.0,39.42006,2020,
2,68,188.0,21.71016,2020,
2,69,147.0,19.36736,2020,
2,70,119.0,8.0108,2020,
2,71,131.0,6.1520399999999995,2020,
2,72,131.0,6.65137,2020,
2,73,101.0,4.26792,2020,
2,74,114.0,3.3006,2020,
1,24,83.78362780123416,8.58033,2021,ba
1,25,92.12807729782398,37.883160000000004,2021,ba
1,26,138.90678142253978,82.21514,2021,ba
1,27,151.39598246183826,114.77193000000001,2021,ba
1,28,182.1364144202663,140.83236,2021,ba
1,29,180.06820721013315,158.22899,2021,ba
1,30,210.0299350438454,175.9911,2021,ba
1,31,211.77036700227347,180.2418,2021,ba
1,32,209.36604741799286,182.96064,2021,ba
1,33,202.4043195842806,184.91116000000002,2021,ba
